word,utility_score,category
ainsi,0,grammaire
ajouter,0,verbe
alcool,0,nom
algue,0,nom
allergie,0,nom
allocation,0,nom
alors,0,grammaire
amande,0,nom
ambulance,0,nom
amende,0,nom
ami,0,nom
amour,0,nom
ampoule,0,nom
analyse,0,nom
ancien,0,adjectif
angoisse,0,nom
anniversaire,0,nom
antidouleur,0,nom
anxiété,0,nom
août,0,nom
appel-vidéo,0,nom
appeler,0,verbe
approximatif,0,adjectif
araignée,0,nom
archive,0,nom
armoire,0,nom
arriver,0,verbe
assurance,0,nom
atelier,0,nom
atterrissage,0,nom
attestation,0,nom
aube,0,nom
auberge,0,nom
audio,0,nom
aujourd’hui,0,grammaire
auteur,0,nom
automne,0,nom
autoroute,0,nom
aux,0,grammaire
avaler,0,verbe
avance,0,nom
avenir,0,nom
avocat,0,nom
avril,0,nom
bail,0,nom
bain,0,nom
balai,0,nom
balance,0,nom
baleine,0,nom
bambou,0,nom
banane,0,nom
bande-dessinée,0,nom
baromètre,0,nom
batterie,0,nom
batterie-mobile,0,nom
bec,0,nom
beurre,0,nom
bibliothèque,0,nom
bientôt,0,grammaire
biscuit,0,nom
bière,0,nom
blessure,0,nom
bois,0,nom
boisson,0,nom
bol,0,nom
bonjour,0,grammaire
boussole,0,nom
brouillard,0,nom
bruyant,0,adjectif
brûlure,0,nom
budget,0,nom
buisson,0,nom
bureau,0,nom
bureau-maison,0,nom
cabine,0,nom
cabine-pilotage,0,nom
cadeau,0,nom
cadre,0,nom
calendrier,0,nom
calme,0,adjectif
camion,0,nom
camping,0,nom
caméra,0,nom
canard,0,nom
candidat,0,nom
capitaine,0,nom
car,0,grammaire
carotte,0,nom
carrefour,0,nom
carte-embarquement,0,nom
carte-routière,0,nom
cascade,0,nom
casque,0,nom
casser,0,verbe
casserole,0,nom
caution,0,nom
caverne,0,nom
ceinture,0,nom
cellule,0,nom
centaine,0,nom
centimètre,0,nom
centre,0,nom
cerf,0,nom
cerise,0,nom
certificat,0,nom
ces,0,grammaire
cette,0,grammaire
chaise,0,nom
chambre,0,nom
champ,0,nom
champ-magnétique,0,nom
champignon,0,nom
chant,0,nom
chapitre,0,nom
charge,0,nom
chargeur,0,nom
chaton,0,nom
chauffer,0,verbe
chaussure,0,nom
chemise,0,nom
chez,0,grammaire
chiffre,0,nom
chiot,0,nom
chocolat,0,nom
chorale,0,nom
chronique,0,adjectif
chèvre,0,nom
chômage,0,nom
cigale,0,nom
cinéma,0,nom
circuit,0,nom
clavier,0,nom
client,0,nom
climat,0,nom
clé,0,nom
cochon,0,nom
coin,0,nom
collègue,0,nom
compte-rendu,0,nom
compte-utilisateur,0,nom
comète,0,nom
concert,0,nom
concombre,0,nom
conduire,0,verbe
confiture,0,nom
conflit,0,nom
congé,0,nom
connaître,0,verbe
connexion,0,nom
constellation,0,nom
consultation,0,nom
consulter,0,verbe
contamination,0,nom
contaminer,0,verbe
conte,0,nom
content,0,adjectif
contraception,0,nom
contraction,0,nom
conversation,0,nom
conversation-écrite,0,nom
coq,0,nom
coquille,0,nom
corail,0,nom
corbeau,0,nom
correspondance,0,nom
cosmonaute,0,nom
costume,0,nom
couleur-art,0,nom
couple,0,nom
couplet,0,nom
courant,0,nom
courant-électrique,0,nom
courgette,0,nom
courir,0,verbe
courriel,0,nom
courrier,0,nom
coussin,0,nom
couteau,0,nom
couverture,0,nom
crevette,0,nom
crise,0,nom
cristal,0,nom
croisement,0,nom
croisière,0,nom
croquis,0,nom
cru,0,adjectif
crème,0,nom
crépuscule,0,nom
cuillère,0,nom
cuisiner,0,verbe
cuivre,0,nom
côte,0,nom
danse,0,nom
dauphin,0,nom
degré,0,nom
demain,0,grammaire
densité,0,nom
depuis,0,grammaire
descente,0,nom
dessiner,0,verbe
dessous,0,nom
dette,0,nom
diarrhée,0,nom
discussion,0,nom
diviser,0,verbe
dizaine,0,nom
document-numérique,0,nom
donc,0,grammaire
dos,0,nom
dose,0,nom
dossier,0,nom
dossier-numérique,0,nom
dossier-partagé,0,nom
douane,0,nom
doublage-route,0,nom
double,0,nom
douche,0,nom
doute,0,nom
douzaine,0,nom
droite,0,nom
dune,0,nom
décembre,0,nom
décider,0,verbe
décollage,0,nom
déconnexion,0,nom
décrire,0,verbe
délai,0,nom
dépression,0,nom
désaccord,0,nom
désert,0,nom
eau-minérale,0,nom
embarquement,0,nom
embauche,0,nom
enquête,0,nom
enseigner,0,verbe
entraide,0,nom
entretien,0,nom
entrée,0,nom
escale,0,nom
espoir,0,nom
espèce,0,nom
essayer,0,verbe
essence,0,nom
estomac,0,nom
eux,0,grammaire
expansion,0,nom
exposition,0,nom
facture,0,nom
faim,0,nom
falaise,0,nom
falloir,0,verbe
famille,0,nom
farine,0,nom
fatigue,0,nom
fatigué,0,adjectif
fenêtre,0,nom
fer,0,nom
fertilité,0,nom
fiction,0,nom
fierté,0,nom
fièvre,0,nom
flamme,0,nom
foie,0,nom
forme-art,0,nom
forêt,0,nom
foudre,0,nom
four,0,nom
fourchette,0,nom
fourmi,0,nom
fraction,0,nom
fracture,0,nom
fraise,0,nom
frein,0,nom
frigo,0,nom
fromage,0,nom
fréquent,0,adjectif
fumée,0,nom
fusion,0,nom
fusée,0,nom
février,0,nom
fête,0,nom
gagner,0,verbe
galaxie,0,nom
galerie,0,nom
gauche,0,nom
gel,0,nom
gel-science,0,nom
genre,0,nom
gens,0,nom
girafe,0,nom
glace-aliment,0,nom
goûter,0,verbe
graine,0,nom
grandir,0,verbe
grave,0,adjectif
gravité,0,nom
grenouille,0,nom
grillade,0,nom
grotte,0,nom
guitare,0,nom
gâteau,0,nom
habitude,0,nom
haine,0,nom
handicap,0,nom
haricot,0,nom
harmonie,0,nom
hauteur,0,nom
hibou,0,nom
hier,0,grammaire
historique,0,nom
homard,0,nom
honte,0,nom
horaire,0,nom
horaire-public,0,nom
horizon,0,nom
huître,0,nom
hygiène,0,nom
hypothèse,0,nom
hôtel,0,nom
ici,0,grammaire
illustration,0,nom
imaginaire,0,adjectif
imaginer,0,verbe
imprimante,0,nom
improvisation,0,nom
impôt,0,nom
incident,0,nom
inconscient,0,adjectif
infecter,0,verbe
infirmière,0,nom
inquiétude,0,nom
inspiration,0,nom
interdit,0,adjectif
inutile,0,adjectif
inviter,0,verbe
isolement,0,nom
janvier,0,nom
jardin,0,nom
journal,0,nom
jugement,0,nom
juillet,0,nom
juin,0,nom
jungle,0,nom
jus,0,nom
jusque,0,grammaire
kilo,0,nom
kilomètre,0,nom
laboratoire,0,nom
laboratoire-mobile,0,nom
laid,0,adjectif
lait,0,nom
lampe,0,nom
lapin,0,nom
largeur,0,nom
larve,0,nom
lavage,0,nom
lecteur,0,nom
lendemain,0,nom
lent,0,adjectif
lessive,0,nom
leur,0,grammaire
leurs,0,grammaire
lever,0,verbe
libellule,0,nom
licenciement,0,nom
lierre,0,nom
lion,0,nom
liste,0,nom
local,0,adjectif
lointain,0,adjectif
loup,0,nom
lui,0,grammaire
lune,0,nom
lunette,0,nom
léger,0,adjectif
ma,0,grammaire
mai,0,nom
main,0,nom
mairie,0,nom
malgré,0,grammaire
manteau,0,nom
marais,0,nom
marin,0,nom
marionnette,0,nom
mars,0,nom
marécage,0,nom
marée,0,nom
masque,0,nom
masse,0,nom
matin,0,nom
maximum,0,nom
me,0,grammaire
melon,0,nom
mensonge,0,nom
menu,0,nom
merci,0,grammaire
mes,0,grammaire
mesure-science,0,nom
mesure-temps,0,nom
micro,0,nom
microscope,0,nom
midi,0,nom
miel,0,nom
millier,0,nom
millilitre,0,nom
millimètre,0,nom
million,0,nom
minimum,0,nom
minuit,0,nom
miroir,0,nom
mise-en-page,0,nom
mise-à-jour,0,nom
moi,0,grammaire
moitié,0,nom
molécule,0,nom
mon,0,grammaire
montée,0,nom
mordre,0,verbe
mortel,0,adjectif
mot-clé,0,nom
mot-de-passe,0,nom
motivation,0,nom
moto,0,nom
mouche,0,nom
moule,0,nom
mousse,0,nom
moustique,0,nom
mouton,0,nom
moyenne,0,nom
multiplier,0,verbe
muscle,0,nom
méduse,0,nom
mélanger,0,verbe
mélodie,0,nom
mémoire,0,nom
ménage,0,nom
métier,0,nom
météore,0,nom
nappe,0,nom
nausée,0,nom
navette,0,nom
navigateur,0,nom
naviguer,0,verbe
nerf,0,nom
nid,0,nom
noix,0,nom
nord,0,nom
normal,0,adjectif
nos,0,grammaire
notification,0,nom
notre,0,grammaire
nouveau,0,adjectif
novembre,0,nom
numéro,0,nom
nécessaire,0,adjectif
négatif,0,adjectif
objectif,0,nom
observatoire,0,nom
occuper,0,verbe
octobre,0,nom
